userName,content,score,at,thumbsUpCount
Santosh Tamhanekar,Nice,4,2023-06-16 16:07:20,0
Rizwan saifee,Best app for investment and to get easy returns,5,2023-06-16 11:24:23,0
Rahul Sawant,Application process with very smooth,5,2023-06-16 09:35:16,0
Nitish Kumar,Highly recommended. secure and convenient platform to lend and borrow.,5,2023-06-15 08:56:49,0
Ajmeri Khan,Great platform for investment with decent returns.,5,2023-06-14 15:28:44,0
Akshay T,Good return,5,2023-06-14 09:17:01,0
Priyanka Pwwar,Great platform for Investment. Just invest and earn. No market risk.,5,2023-06-13 02:18:40,0
Tej Shirodkar,Nice app,5,2023-06-12 17:02:10,0
Ganesh Shirodkar,Best app for investing and to get good returns,5,2023-06-12 16:45:54,0
Rishabh Ojha,Best platform to invest your money,5,2023-06-12 16:42:03,0
Anamika Gole,I'm happy with the returns I received..,5,2023-06-12 16:41:23,0
Tarkeshwar Singh,If you have a lumpsum funds sitting in you account ideally get it invested with them for good returns!,5,2023-06-10 16:52:15,0
Sayaj Bhagare,Best investment app if anyone is looking for stability in terms of returns,5,2023-06-09 16:16:43,0
Vinod Pandekar,P2P was a new concept for me until I get to hear it from there representative I'm happy for the investment made here!,5,2023-06-09 15:19:21,0
ruhi pandekar,Thankyou lendenclub,5,2023-06-09 15:16:40,0
Mangita Pandekar,Thank you Lendenclub for making investment a very easy thing also the customer service person who helps in getting all my queries answer.,5,2023-06-09 15:12:43,0
Yogesh Singh,"Good platform to invest for good returns, good services by plateform",5,2023-06-09 06:26:24,0
Saiyam Jain,Smooth process...easy to add money..seems to be trustworthy,5,2023-06-09 05:29:12,0
Pragati Pandey,Investing with Lendenclub was actually easy and with the awesome returns they are providing I'm happy to find this app as my primary Investment platform.,5,2023-06-09 05:15:52,0
Prasad Rane,Great investment app also the customer support is really attentive on calls!,5,2023-06-09 04:31:00,0
Aman Singh,I find the UI to be very good and planning to refer this to my friends...thankyou lendenclub,5,2023-06-08 11:37:55,0
Vishal Pandey,Good edwise,5,2023-06-08 06:16:15,0
Agresh Sharma,"Lenden club has been a great partner in managing my investments. Since becoming a client, I have experienced outstanding investment results and exceptional customer service. Thank you for helping me achieve my financial goals and providing me with peace of mind. I highly recommend Lenden club to anyone seeking reliable and successful investment.",5,2023-06-08 05:40:33,0
vikram singh,Good,5,2023-06-08 05:19:31,0
Brice Carvalho,This is the best app for investing which gives higher interest rates.,5,2023-06-07 18:16:39,1
DEBASISH DEB,Unable to Complete Registration due to you Server Error unable to upload Pasport Photo,2,2023-06-07 11:41:19,0
Raghav Khandelwal,Amazing Platform and and Process for Investors.,5,2023-06-07 08:16:12,0
Mina Devi,Very nice,5,2023-06-06 09:35:59,0
Aashish Kumar,Good costumer support and best app for investment,5,2023-06-06 05:39:44,0
Nibha Kumari,App not working photo upload not working. Hard process for account create,1,2023-06-03 14:37:06,0
Fyit_50_shafe,App is easy to use and user friendly easy to create a profile and invest,5,2023-06-01 09:14:15,0
Anushka Surve,The user interface is really good and my investment was made in less than a minute Thankyou LenDenClub,5,2023-06-01 06:59:46,0
ck editography,I have got the reference from one of my friend and the app is really good an user friendly 👍,5,2023-06-01 05:01:10,1
Shirin Khan,"One of the best comp on P2P platform, I have invested money and got the same return as informed by lenden club 😍",5,2023-06-01 04:56:51,0
Akhilesh Pandey,Amazing service.... Thank you.,5,2023-05-30 22:14:09,0
Ankush_singh_amhara_ bihta_patna (Gotu),Invest ni ho pa raha hi ..likh raha hi ki user is already login as borrower,2,2023-05-24 06:53:46,0
Sonal,"They has completely changed my perspective on investing. The returns have been excellent, and I have full confidence in them.",5,2023-05-22 12:26:50,0
Nishan Singh,Hlo veer ji।। ।,2,2023-05-22 05:19:15,0
Dr turki badwa haha,"I have uploaded all the documents, and now the app constantly giving error 😠. Ask you developers to fix the issue",1,2023-05-17 13:23:32,0
Suraj Kokane,Reliable and Regulated platform,5,2023-05-17 04:15:47,0
BM Yadav,If you don't know how to make app then you shouldn't. There is many error I'm struggling with Bank Verification failed while everything ok,1,2023-05-07 17:18:56,1
Sahibdeep Singh Sodhi,Please don't send me spam messages on my mobile. I want to unsubscribe but haven't been able to till now.,1,2023-05-06 09:38:07,0
SHUBHAM VERMA,"I had a good time investing, and my investments gave me a good return. My problems were fixed right away, so I don't have anything to regret.",5,2023-05-02 17:04:34,0
Vansh Bajaj,"From the Hardik Pandya advertisement, I discovered this app. I had no awareness about peer-to-peer lending. And customer support of LenDen walked me users through every stage of the website and app. It is so straightforward and simple to understand therefore I decided to invest here.",5,2023-04-28 15:52:10,0
karthik h j,Sir I have take lone instamoney app lone is closed but still.showing over due how to close my over due how to contact you please give me contact details i have to close over due already mailed but still no response give me your contacts details wr is your office in banglore,1,2023-04-28 09:25:03,0
The Gangster of Legend,My advice is to use the app for reinvestment as this will result in increased returns over time for individuals who can invest for a longer time frame.,5,2023-04-27 15:05:39,1
